dx,dy,Time(ms)
6,-2,1
-16,5,2
18,-5,18
-10,4,34
5,-3,49
-13,4,65
22,-4,80
32,-2,96
-17,5,111
93,0,127
-61,1,142
117,3,158
-99,0,174
59,0,189
-59,-6,205
12,-5,220
-73,5,235
8,-5,251
-33,8,266
-1,0,281
-2,-1,312
2,1,328
1,0,390
4,6,406
-4,-4,421
5,4,437
0,-3,453
3,4,468
-6,-6,483
6,4,499
4,1,530
-10,-5,546
9,4,561
-9,-3,577
6,3,592
-6,-2,608
6,6,623
-9,-9,639
4,4,654
-4,-4,669
3,4,685
-2,-2,701
1,-1,716
-2,1,732
0,-2,747
-2,-2,841
2,2,856
-3,-4,872
3,4,887
-3,-3,903
3,3,918
-3,-3,962
0,-1,965
-84,-63,980
-27,-17,996
-24,-12,1011
-22,-12,1027
-24,-10,1043
-29,-9,1059
-43,-12,1074
-78,-14,1089
-119,-9,1105
-150,-1,1121
-174,5,1136
-180,14,1151
-3,25,1167
0,29,1183
0,25,1198
0,17,1214
0,12,1229
0,6,1245
0,1,1260
3,0,1291
16,2,1307
32,1,1322
42,2,1337
45,0,1353
34,0,1368
26,3,1384
18,9,1399
19,19,1415
32,33,1430
60,51,1446
84,60,1461
94,60,1477
95,56,1492
76,42,1507
62,34,1523
40,24,1539
32,20,1554
24,15,1570
1,3,1585
-29,-6,1864
-20,3,1879
-7,9,1895
-12,13,1910
-14,6,1925
-1,2,1941
-2,0,2065
